time;sig_left;sig_right
0.000000;-0.000433;-0.000365
5.208333;0.000193;-0.000010
10.416667;0.000674;0.000599
15.625000;0.000021;0.000090
20.833334;-0.000598;-0.000527
26.041666;-0.000270;-0.000324
31.250000;0.000355;0.000352
36.458332;0.000437;0.000504
41.666668;-0.000285;-0.000216
46.875000;-0.000487;-0.000490
52.083332;-0.000136;-0.000080
57.291668;0.000634;0.000511
62.500000;0.000211;0.000206
67.708336;-0.000418;-0.000359
72.916664;-0.000483;-0.000456
78.125000;0.000286;0.000179
83.333336;0.000563;0.000502
88.541664;-0.000028;0.000007
93.750000;-0.000487;-0.000459
98.958336;-0.000106;-0.000287
104.166664;0.000536;0.000636
109.375000;0.000320;0.000406
114.583336;-0.000166;-0.000164
119.791664;-0.000746;-0.000457
125.000000;0.000156;-0.000151
130.208328;0.000530;0.000537
135.416672;0.000185;0.000145
140.625000;-0.000620;-0.000417
145.833328;-0.000275;-0.000446
151.041672;0.000307;0.000293
156.250000;0.000432;0.000436
161.458328;-0.000140;-0.000038
166.666672;-0.000620;-0.000519
171.875000;-0.000127;-0.000080
177.083328;0.000539;0.000264
182.291672;0.000245;0.000455
187.500000;-0.000293;-0.000326
192.708328;-0.000449;-0.000429
197.916672;0.000103;0.000013
203.125000;0.000580;0.000473
208.333328;0.000038;0.000273
213.541672;-0.000470;-0.000518
218.750000;-0.000341;-0.000273
223.958328;0.000324;0.000190
229.166672;0.000511;0.000628
234.375000;-0.000208;-0.000191
239.583328;-0.000662;-0.000504
244.791672;0.000029;-0.000174
250.000000;0.000441;0.000471
255.208328;0.000267;0.000237
260.416656;-0.000396;-0.000251
265.625000;-0.000435;-0.000481
270.833344;0.000204;0.000155
276.041656;0.000477;0.000529
281.250000;0.000027;0.000078
286.458344;-0.000510;-0.000426
291.666656;-0.000293;-0.000293
296.875000;0.000477;0.000287
302.083344;0.000380;0.000534
307.291656;-0.000163;-0.000221
312.500000;-0.000615;-0.000608
317.708344;0.000026;-0.000026
322.916656;0.000561;0.000495
328.125000;0.000239;0.000212
333.333344;-0.000550;-0.000338
338.541656;-0.000434;-0.000427
343.750000;0.000246;0.000162
348.958344;0.000600;0.000542
354.166656;-0.000064;-0.000001
359.375000;-0.000415;-0.000397
364.583344;-0.000032;-0.000087
369.791656;0.000406;0.000630
375.000000;0.000488;0.000319
380.208344;-0.000267;-0.000156
385.416656;-0.000652;-0.000627
390.625000;-0.000016;-0.000114
395.833344;0.000528;0.000381
401.041656;0.000141;0.000200
406.250000;-0.000568;-0.000478
411.458344;-0.000418;-0.000491
416.666656;0.000419;0.000315
421.875000;0.000423;0.000605
427.083344;0.000002;-0.000063
432.291656;-0.000679;-0.000547
437.500000;0.000001;-0.000153
442.708344;0.000371;0.000448
447.916656;0.000349;0.000367
453.125000;-0.000314;-0.000278
458.333344;-0.000597;-0.000384
463.541656;0.000146;0.000059
468.750000;0.000540;0.000470
473.958344;0.000102;0.000316
479.166656;-0.000618;-0.000480
484.375000;-0.000238;-0.000439
489.583344;0.000318;0.000316
494.791656;0.000508;0.000598
500.000000;-0.000243;-0.000126
505.208344;-0.000643;-0.000513
510.416656;-0.000031;-0.000197
515.625000;0.000581;0.000617
520.833313;0.000221;0.000290
526.041687;-0.000397;-0.000333
531.250000;-0.000418;-0.000481
536.458313;0.000137;0.000283
541.666687;0.000565;0.000468
546.875000;0.000099;0.000138
552.083313;-0.000673;-0.000621
557.291687;-0.000223;-0.000195
562.500000;0.000290;0.000232
567.708313;0.000533;0.000537
572.916687;-0.000392;-0.000189
578.125000;-0.000566;-0.000456
583.333313;0.000045;-0.000223
588.541687;0.000549;0.000692
593.750000;0.000269;0.000168
598.958313;-0.000443;-0.000262
604.166687;-0.000508;-0.000584
609.375000;0.000409;0.000298
614.583313;0.000488;0.000450
619.791687;0.000043;0.000117
625.000000;-0.000574;-0.000419
630.208313;-0.000129;0.000019
635.416687;0.000371;0.000394
640.625000;0.000413;0.000448
645.833313;-0.000383;-0.000196
651.041687;-0.000603;-0.000625
656.250000;0.000173;-0.000183
661.458313;0.000557;0.000514
666.666687;0.000098;0.000212
671.875000;-0.000442;-0.000536
677.083313;-0.000372;-0.000394
682.291687;0.000341;0.000201
687.500000;0.000623;0.000560
692.708313;-0.000241;-0.000076
697.916687;-0.000552;-0.000481
703.125000;-0.000133;-0.000290
708.333313;0.000591;0.000532
713.541687;0.000216;0.000289
718.750000;-0.000303;-0.000295
723.958313;-0.000543;-0.000589
729.166687;0.000188;0.000084
734.375000;0.000544;0.000577
739.583313;0.000031;0.000131
744.791687;-0.000429;-0.000486
750.000000;-0.000434;-0.000383
755.208313;0.000575;0.000245
760.416687;0.000461;0.000646
765.625000;-0.000165;-0.000185
770.833313;-0.000654;-0.000406
776.041687;0.000064;-0.000276
781.250000;0.000533;0.000651
786.458313;0.000220;0.000286
791.666687;-0.000316;-0.000348
796.875000;-0.000554;-0.000540
802.083313;0.000363;0.000128
807.291687;0.000500;0.000601
812.500000;0.000022;0.000118
817.708313;-0.000621;-0.000448
822.916687;-0.000185;-0.000313
828.125000;0.000399;0.000270
833.333313;0.000464;0.000497
838.541687;-0.000314;-0.000192
843.750000;-0.000469;-0.000645
848.958313;0.000003;-0.000128
854.166687;0.000652;0.000539
859.375000;0.000273;0.000326
864.583313;-0.000472;-0.000350
869.791687;-0.000429;-0.000598
875.000000;0.000363;0.000242
880.208313;0.000454;0.000687
