time;sig_left;sig_right
0.000000;-0.000527;-0.000047
5.208333;-0.000245;0.000121
10.416667;0.000337;0.000135
15.625000;0.000469;-0.000107
20.833334;-0.000133;-0.000225
26.041666;-0.000632;-0.000016
31.250000;-0.000055;0.000208
36.458332;0.000394;0.000110
41.666668;0.000400;-0.000102
46.875000;-0.000521;-0.000261
52.083332;-0.000354;0.000163
57.291668;0.000066;0.000202
62.500000;0.000582;0.000019
67.708336;0.000036;-0.000337
72.916664;-0.000405;-0.000008
78.125000;-0.000393;0.000072
83.333336;0.000418;0.000273
88.541664;0.000419;-0.000045
93.750000;-0.000026;-0.000266
98.958336;-0.000678;0.000001
104.166664;-0.000026;0.000231
109.375000;0.000421;0.000201
114.583336;0.000460;-0.000223
119.791664;-0.000391;-0.000165
125.000000;-0.000419;0.000025
130.208328;0.000048;0.000215
135.416672;0.000483;0.000074
140.625000;0.000177;-0.000324
145.833328;-0.000441;-0.000007
151.041672;-0.000458;0.000016
156.250000;0.000353;0.000336
161.458328;0.000372;-0.000158
166.666672;0.000054;-0.000240
171.875000;-0.000582;-0.000078
177.083328;-0.000035;0.000179
182.291672;0.000390;0.000252
187.500000;0.000415;-0.000219
192.708328;-0.000306;-0.000095
197.916672;-0.000475;-0.000062
203.125000;0.000113;0.000183
208.333328;0.000331;0.000232
213.541672;0.000305;-0.000221
218.750000;-0.000520;-0.000110
223.958328;-0.000385;0.000031
229.166672;0.000257;0.000115
234.375000;0.000366;0.000109
239.583328;0.000187;-0.000301
244.791672;-0.000602;0.000071
250.000000;-0.000189;-0.000113
255.208328;0.000364;0.000273
260.416656;0.000357;-0.000059
265.625000;-0.000120;-0.000164
270.833344;-0.000534;-0.000078
276.041656;0.000035;0.000206
281.250000;0.000255;0.000164
286.458344;0.000375;-0.000044
291.666656;-0.000485;-0.000193
296.875000;-0.000303;0.000048
302.083344;0.000006;0.000080
307.291656;0.000591;0.000181
312.500000;-0.000058;-0.000253
317.708344;-0.000329;-0.000025
322.916656;-0.000391;-0.000060
328.125000;0.000436;0.000238
333.333344;0.000284;0.000078
338.541656;0.000045;-0.000243
343.750000;-0.000658;-0.000037
348.958344;0.000077;0.000008
354.166656;0.000321;0.000090
359.375000;0.000410;-0.000080
364.583344;-0.000336;-0.000075
369.791656;-0.000356;-0.000007
375.000000;-0.000032;0.000034
380.208344;0.000571;0.000171
385.416656;0.000178;-0.000068
390.625000;-0.000331;-0.000131
395.833344;-0.000468;0.000031
401.041656;0.000229;0.000085
406.250000;0.000506;0.000060
411.458344;0.000011;-0.000058
416.666656;-0.000618;-0.000067
421.875000;-0.000164;-0.000026
427.083344;0.000362;0.000198
432.291656;0.000583;0.000063
437.500000;-0.000290;-0.000097
442.708344;-0.000398;-0.000034
447.916656;0.000002;-0.000025
453.125000;0.000371;0.000175
458.333344;0.000338;-0.000104
463.541656;-0.000515;-0.000213
468.750000;-0.000288;0.000082
473.958344;-0.000009;-0.000037
479.166656;0.000535;0.000261
484.375000;0.000048;-0.000226
489.583344;-0.000355;-0.000021
494.791656;-0.000447;-0.000062
500.000000;0.000379;0.000082
505.208344;0.000418;0.000152
510.416656;0.000024;-0.000171
515.625000;-0.000547;-0.000007
520.833313;-0.000109;-0.000042
526.041687;0.000395;0.000192
531.250000;0.000386;0.000032
536.458313;-0.000229;-0.000163
541.666687;-0.000545;-0.000101
546.875000;0.000158;0.000074
552.083313;0.000379;0.000217
557.291687;0.000234;-0.000115
562.500000;-0.000360;-0.000147
567.708313;-0.000326;0.000001
572.916687;0.000253;0.000166
578.125000;0.000542;-0.000027
