time;sig_left;sig_right
0,000000;-0,000208;-0,000298
5,208333;0,000341;-0,000513
10,416667;0,000416;0,000314
15,625000;-0,000168;0,000639
20,833334;-0,000500;0,000097
26,041666;0,000124;-0,000661
31,250000;0,000410;-0,000233
36,458332;0,000247;0,000527
41,666668;-0,000311;0,000593
46,875000;-0,000428;-0,000239
52,083332;0,000292;-0,000574
57,291668;0,000382;-0,000006
62,500000;0,000123;0,000643
67,708336;-0,000451;0,000214
72,916664;-0,000189;-0,000456
78,125000;0,000291;-0,000438
83,333336;0,000609;0,000198
88,541664;-0,000335;0,000684
93,750000;-0,000396;0,000026
98,958336;-0,000115;-0,000623
104,166664;0,000554;-0,000192
109,375000;0,000254;0,000413
114,583336;-0,000401;0,000560
119,791664;-0,000312;-0,000201
125,000000;0,000154;-0,000695
130,208328;0,000531;0,000161
135,416672;0,000011;0,000616
140,625000;-0,000419;0,000285
145,833328;-0,000222;-0,000438
151,041672;0,000450;-0,000366
156,250000;0,000403;0,000261
161,458328;-0,000090;0,000705
166,666672;-0,000477;0,000200
171,875000;0,000078;-0,000553
177,083328;0,000449;-0,000337
182,291672;0,000300;0,000598
187,500000;-0,000391;0,000524
192,708328;-0,000349;-0,000213
197,916672;0,000169;-0,000578
203,125000;0,000623;-0,000057
208,333328;-0,000048;0,000674
213,541672;-0,000332;0,000363
218,750000;-0,000251;-0,000429
223,958328;0,000532;-0,000465
229,166672;0,000316;0,000336
234,375000;-0,000078;0,000671
239,583328;-0,000462;0,000145
244,791672;0,000047;-0,000591
250,000000;0,000400;-0,000334
255,208328;0,000233;0,000583
260,416656;-0,000348;0,000431
265,625000;-0,000348;-0,000170
270,833344;0,000238;-0,000641
276,041656;0,000537;0,000001
281,250000;-0,000065;0,000601
286,458344;-0,000342;0,000344
291,666656;-0,000226;-0,000410
296,875000;0,000422;-0,000597
302,083344;0,000374;0,000282
307,291656;-0,000184;0,000713
312,500000;-0,000402;0,000052
317,708344;-0,000048;-0,000559
322,916656;0,000493;-0,000299
328,125000;0,000228;0,000577
333,333344;-0,000271;0,000478
338,541656;-0,000417;-0,000187
343,750000;0,000289;-0,000719
348,958344;0,000413;-0,000031
354,166656;0,000129;0,000577
359,375000;-0,000359;0,000357
364,583344;-0,000428;-0,000410
369,791656;0,000514;-0,000491
375,000000;0,000289;0,000229
380,208344;-0,000078;0,000603
385,416656;-0,000566;0,000224
390,625000;0,000015;-0,000671
395,833344;0,000453;-0,000314
401,041656;0,000249;0,000486
406,250000;-0,000362;0,000524
411,458344;-0,000274;-0,000133
416,666656;0,000171;-0,000535
421,875000;0,000519;-0,000021
427,083344;0,000042;0,000519
432,291656;-0,000436;0,000389
437,500000;-0,000262;-0,000468
